Date,Open,High,Low,Close,Adj Close,Volume
2017-02-23,5575.000000,5637.500000,5575.000000,5575.000000,4617.145020,21926400
2017-02-24,5637.500000,5637.500000,5550.000000,5550.000000,4596.440430,29579000
2017-02-27,5587.500000,5612.500000,5587.500000,5587.500000,4627.497070,15198800
2017-02-28,5650.000000,5700.000000,5600.000000,5650.000000,4679.259277,21722200
2017-03-01,5700.000000,5700.000000,5612.500000,5675.000000,4699.963867,45578200
2017-03-02,5687.500000,5725.000000,5662.500000,5662.500000,4689.611816,28741400
2017-03-03,5625.000000,5687.500000,5600.000000,5675.000000,4699.963867,14665800
2017-03-06,5675.000000,5687.500000,5612.500000,5650.000000,4679.259277,21289200
2017-03-07,5600.000000,5675.000000,5600.000000,5662.500000,4689.611816,43411600
2017-03-08,5687.500000,5700.000000,5662.500000,5662.500000,4689.611816,16685600
2017-03-09,5687.500000,5687.500000,5625.000000,5687.500000,4710.316895,7149200
2017-03-10,5700.000000,5700.000000,5662.500000,5700.000000,4720.668457,11372400
2017-03-13,5600.000000,5700.000000,5600.000000,5700.000000,4720.668457,22957200
2017-03-14,5650.000000,5725.000000,5650.000000,5712.500000,4731.020508,16208400
2017-03-15,5750.000000,5787.500000,5687.500000,5725.000000,4741.373535,19391800
2017-03-16,5787.500000,5825.000000,5762.500000,5787.500000,4793.134766,62068400
2017-03-17,5825.000000,5850.000000,5775.000000,5812.500000,4813.839844,57905600
2017-03-20,5862.500000,5950.000000,5812.500000,5887.500000,4875.953613,42059000
2017-03-21,5925.000000,5950.000000,5875.000000,5900.000000,4886.306152,49325600
2017-03-22,5775.000000,5912.500000,5737.500000,5887.500000,4988.520508,68933200
2017-03-23,5925.000000,6012.500000,5925.000000,5950.000000,5041.477539,82475800
2017-03-24,5987.500000,5987.500000,5875.000000,5950.000000,5041.477539,50811200
2017-03-27,5850.000000,5925.000000,5850.000000,5850.000000,4956.746582,21688400
2017-03-29,5950.000000,5950.000000,5837.500000,5887.500000,4988.520508,27829000
2017-03-30,5887.500000,5925.000000,5812.500000,5887.500000,4988.520508,16080800
2017-03-31,5875.000000,5887.500000,5850.000000,5850.000000,4956.746582,31992800
2017-04-03,5900.000000,5925.000000,5800.000000,5875.000000,4977.929199,29482200
2017-04-04,5825.000000,5975.000000,5825.000000,5875.000000,4977.929199,38704400
2017-04-05,5875.000000,5875.000000,5875.000000,5875.000000,4977.929199,0
2017-04-06,5950.000000,6212.500000,5912.500000,6212.500000,5263.895020,43707800
2017-04-07,6150.000000,6212.500000,6100.000000,6100.000000,5168.573242,39917800
2017-04-10,6112.500000,6137.500000,5975.000000,6025.000000,5105.024902,18318400
2017-04-11,6000.000000,6000.000000,5850.000000,5875.000000,4977.929199,21556600
2017-04-12,5837.500000,5900.000000,5837.500000,5850.000000,4956.746582,16280800
2017-04-13,5900.000000,5925.000000,5750.000000,5825.000000,4935.563477,28097200
2017-04-17,5850.000000,5850.000000,5762.500000,5812.500000,4924.972168,9576600
2017-04-18,5850.000000,5925.000000,5812.500000,5875.000000,4977.929199,44684000
2017-04-19,5875.000000,5875.000000,5875.000000,5875.000000,4977.929199,0
2017-04-20,5850.000000,5875.000000,5725.000000,5762.500000,4882.607422,40739200
2017-04-21,5787.500000,5837.500000,5700.000000,5700.000000,4829.650391,19164800
2017-04-25,5787.500000,5850.000000,5737.500000,5775.000000,4893.198730,74604000
2017-04-26,5850.000000,6137.500000,5850.000000,5912.500000,5009.702637,159925200
2017-04-27,5850.000000,5925.000000,5850.000000,5862.500000,4967.337891,53191000
2017-04-28,5837.500000,5875.000000,5825.000000,5850.000000,4956.746582,41873800
2017-05-02,5850.000000,5862.500000,5837.500000,5837.500000,4946.155273,41527200
2017-05-03,5825.000000,5825.000000,5750.000000,5787.500000,4903.789551,49909400
2017-05-04,5812.500000,5912.500000,5812.500000,5850.000000,4956.746582,67035000
2017-05-05,5875.000000,6062.500000,5875.000000,5987.500000,5073.250977,73424200
2017-05-08,6050.000000,6137.500000,6025.000000,6025.000000,5105.024902,75287600
2017-05-09,6025.000000,6075.000000,6000.000000,6000.000000,5083.842773,30491400
2017-05-10,6050.000000,6050.000000,5962.500000,6012.500000,5094.434570,39210200
2017-05-12,6087.500000,6087.500000,5975.000000,6000.000000,5083.842773,48632200
